i,j,log_odds
Bur,SuIj,0.920824999408704
Bur,Vir,0.247876359333159
NIn,Ane,0.283452782440434
NIn,Bac,1.23027352520002
NIn,Bac,1.23027352520002
NIn,CVD,1.00703473642486
NIn,Ulc,0.429285422563584
NIn,Uri,0.654535063870906
NIn,WBC,0.771653381521948
NIn,Ear,0.164276477871629
NIn,Ep,1.37139833327198
NIn,Eye,0.231933573472389
NIn,Ele,0.780753276755798
NIn,Fr,0.424370438462361
NIn,HA,0.954976056824874
NIn,NSC,0.731305536621247
NIn,ArI,2.03294741206914
NIn,BIj,0.214278057937542
NIn,Gas,0.379993581289705
NIn,GIO,0.396893912164583
NIn,InO,1.42965629441004
NIn,IjO,0.461903869111136
NIn,NSO,0.808058519357
NIn,Par,1.76101023493631
NIn,RIn,0.320841453378596
NIn,SIn,0.497594324430912
NIn,Spi,1.27404809010503
NIn,Lup,1.24032912083195
NIn,Vir,0.676416688789182
CVD,Bac,0.170289945615043
CVD,Bac,0.170289945615043
CVD,Bur,0.576357945744503
CVD,NIn,1.16760882913763
CVD,COPD,0.199806168622761
CVD,Ulc,0.481576276311841
CVD,Coag,0.223639090701644
CVD,Coma,1.13810589433704
CVD,CIj,1.10521590710978
CVD,Art,0.571981921631206
CVD,Hea,0.52200683642405
CVD,Uri,0.101555337766374
CVD,Lip,0.182851886722466
CVD,Jaw,0.0657817049534427
CVD,Ear,0.270377366112786
CVD,Ep,1.35208909359911
CVD,Eye,0.31123955671376
CVD,Fr,0.452615515801328
CVD,HA,0.667586266481117
CVD,NSC,0.26738178128343
CVD,HTN,0.535500533081993
CVD,BIj,0.891857770405523
CVD,GIO,0.161992819757611
CVD,IjO,0.366380397742369
CVD,NSO,0.648510873177921
CVD,Par,2.17704203457154
CVD,RIn,0.0699119082673368
CVD,Spi,0.65903170928533
CVD,Lup,0.648936304097547
CVD,Con,0.139901736896426
CVD,Con,0.139901736896426
COPD,Her,0.188954488884052
COPD,Ast,1.20648124923129
COPD,Bur,0.5284257564249
COPD,Art,0.0783151595990825
COPD,Hea,0.408410248426518
COPD,Lip,0.0452972865260549
COPD,Jaw,0.133617195959924
COPD,Ear,0.143138318735653
COPD,Fr,0.102948058211414
COPD,GIH,0.198130646508608
COPD,HA,0.140668365786816
COPD,HTN,0.113602992833572
COPD,TJ,0.138712640053978
COPD,Myc,0.118029478653215
COPD,NTJ,0.0677818855651789
COPD,Gas,0.402848723702069
COPD,GIO,0.0745916036758053
COPD,InO,0.491792792922586
COPD,IjO,0.192862038167242
COPD,LRO,1.32558973823958
COPD,SkO,0.0677188148366148
COPD,URO,0.346850157857346
COPD,Ple,0.613225389783332
COPD,Poi,0.25410360601362
COPD,RF,0.427928488481831
COPD,RIn,1.34073179266948
COPD,SIn,0.335235364524297
COPD,Bac,0.109241838924471
COPD,Bac,0.109241838924471
COPD,Spr,0.218410142310362
COPD,SuIj,0.345086417972757
COPD,UGI,0.32492731530923
COPD,Vir,0.211677409337004
Ulc,Def,0.380933030385368
Ulc,Ane,0.697496509969184
Ulc,Bac,1.36214737348242
Ulc,Bac,1.36214737348242
Ulc,Bur,1.75258702860411
Ulc,NIn,1.04964751453654
Ulc,CVD,0.80593584802989
Ulc,Coag,0.31293985361263
Ulc,Coma,1.46593408645663
Ulc,CIj,1.74056548085164
Ulc,Art,0.265444531280327
Ulc,Uri,1.07888473262583
Ulc,Vei,0.681579073897633
Ulc,Jaw,0.115702503253453
Ulc,Ep,0.586319279022305
Ulc,Ele,0.493893131420406
Ulc,Fr,1.19749770613808
Ulc,NSC,0.69220976390783
Ulc,ArI,2.41410707406807
Ulc,IIn,0.511323491116844
Ulc,BIj,0.341305087732201
Ulc,Myc,0.398673156174032
Ulc,Wou,1.56616336741175
Ulc,Con,0.376909108777499
Ulc,Con,0.376909108777499
Ulc,GIO,0.992887645683448
Ulc,InO,0.591758807741808
Ulc,IjO,0.610744593986908
Ulc,NSO,0.764563897769606
Ulc,SkO,0.369033514651905
Ulc,Par,3.39363725101026
Ulc,Ple,0.524471932884606
Ulc,RF,0.921424239594168
Ulc,SIn,1.78465564697021
Ulc,Spi,3.80799219204069
Ulc,SuIj,0.471283398974095
Ulc,DM,0.392300891206092
Coag,Ane,1.42041083519304
Coag,Bac,0.744351704030999
Coag,Bac,0.744351704030999
Coag,Bil,0.802115291607198
Coag,NIn,0.636668984101121
Coag,CVD,0.769237454086791
Coag,Ulc,0.451268993348577
Coag,CIj,0.332191304424927
Coag,Art,0.539159363628575
Coag,Hea,0.705739640247989
Coag,Uri,0.46891754604646
Coag,Vei,1.11493232961334
Coag,WBC,1.65300596997898
Coag,Ep,0.939540623612068
Coag,Ele,1.58208301188178
Coag,GIH,0.610547976994377
Coag,HTN,0.206403440045078
Coag,ArI,0.40102071627858
Coag,IIn,0.789733976797027
Coag,Liv,1.31821739004125
Coag,LGI,0.241428998982167
Coag,Gas,0.254798721951025
Coag,GIO,0.273036665828359
Coag,HeO,1.62186637252954
Coag,InO,0.832918243677219
Coag,IjO,0.165253393485645
Coag,Pan,1.57198836343893
Coag,Par,0.451447194343726
Coag,Ple,1.05962679331323
Coag,Poi,0.602624954370088
Coag,RF,0.808580014240072
Coag,RIn,0.107266432803329
Coag,SIn,0.269642348232388
Coag,Spi,0.461462788164802
Coag,Lup,1.3141023374647
Coag,UGI,0.0995380819684172
Coag,Vir,0.628463512435692
Coma,Bur,0.600077246345449
Coma,NIn,1.02386179827425
Coma,CVD,1.24631882688632
Coma,Ulc,0.927858993036158
Coma,CIj,0.908349774469927
Coma,Art,0.311342857163976
Coma,Hea,0.407678090031266
Coma,Uri,0.203317311463802
Coma,Ear,0.152886784349294
Coma,Ep,1.82646308031656
Coma,Ele,0.437739251005768
Coma,Fr,0.294333076243364
Coma,HA,0.410624272031798
Coma,NSC,0.291144464984652
Coma,BIj,0.478604994736149
Coma,Con,0.131346122531231
Coma,Con,0.131346122531231
Coma,End,0.357264085178436
Coma,GIO,0.242660125281289
Coma,IjO,0.667976553117177
Coma,LRO,0.373363991589538
Coma,NSO,0.564486063384267
Coma,Par,1.26696692045229
Coma,Poi,1.99395110231112
Coma,RF,0.914284170366587
Coma,RIn,0.120294922915156
Coma,Spi,0.987680753666621
Coma,SuIj,0.286982651727823
CIj,Def,0.219340548128671
CIj,Bur,1.09989573457204
CIj,CVD,0.490121755071107
CIj,Ulc,0.598705033172022
CIj,Coma,0.43740314917497
CIj,Uri,0.196723395254802
CIj,Vei,0.231742717093819
CIj,Jaw,0.183182591378415
CIj,Ear,0.260156742460768
CIj,Eye,0.309201864686955
CIj,Fr,1.67510121524051
CIj,HA,0.276948409941542
CIj,ArI,0.533051528799697
CIj,BIj,0.811335705837845
CIj,TJ,0.493075462330032
CIj,NTJ,0.0852213481589498
CIj,Wou,1.50497348769036
CIj,Ost,0.682282866116272
CIj,Bone,0.217323952175665
CIj,Con,0.24884379356627
CIj,Con,0.24884379356627
CIj,GIO,0.217974455752668
CIj,HeO,0.424052851096903
CIj,IjO,1.21753003643039
CIj,NSO,0.515080021305701
CIj,Par,1.00505309154068
CIj,Ple,0.519934163971734
CIj,SIn,0.379597333600224
CIj,Spi,1.3256652203189
CIj,Spr,0.369841285873099
CIj,SuIj,0.927461316240355
Art,Her,0.104501340246809
Art,Ane,0.1548116898295
Art,Ast,0.0433775612074314
Art,Bac,0.0966233601662198
Art,Bac,0.0966233601662198
Art,Bil,0.204389090463954
Art,Bur,0.424870157075005
Art,CVD,1.0522276737492
Art,COPD,0.192246463145289
Art,Ulc,0.452818920948047
Art,Coag,0.311534941725104
Art,Coma,0.280887768787919
Art,CIj,0.369717920242904
Art,Hea,0.694263789336528
Art,Uri,0.144966492953933
Art,Vei,0.194251087161484
Art,WBC,0.127531016827745
Art,Lip,0.227828455503968
Art,Jaw,0.0806659518832044
Art,Ear,0.113242215908232
Art,Ep,0.162353107963861
Art,Eye,0.0370561214263464
Art,Ele,0.420790136905182
Art,Fr,0.138608678660034
Art,GIH,0.310717620750407
Art,HA,0.0714833517913651
Art,HTN,0.091833146971912
Art,ArI,0.250491060106484
Art,IIn,0.1279251123881
Art,TJ,0.168382550485664
Art,Liv,0.328741513670705
Art,Myc,0.200899318204764
Art,NTJ,0.112683593674505
Art,Gas,0.330797940880736
Art,GIO,0.0842869112812966
Art,HeO,0.233945423448845
Art,InO,0.353637912045393
Art,SInf,0.0811084236119603
Art,IjO,0.228009495501357
Art,LRO,0.115207700268571
Art,NuO,0.2464124173228
Art,SkO,0.321366513376963
Art,URO,0.0288714864941488
Art,Pan,0.146475428757248
Art,Par,0.534125310558127
Art,Ple,0.304307794988343
Art,Poi,0.371619340161248
Art,RIn,0.336911215542728
Art,SIn,0.268740900512099
Art,Spi,0.476718349952538
Art,Bac,0.0207873047286621
Art,Bac,0.0207873047286621
Art,Spr,0.191096616592395
Art,SuIj,0.204923629463882
Art,Lup,0.820197624153089
Art,UGI,0.108145180751731
Art,Vir,0.231894264359565
Art,Neo,0.15282223780753
Art,Gen,0.0780411840901172
Mou,Def,0.0757090560585752
Mou,Ast,0.103333082994216
Mou,Bur,0.279642389465539
Mou,Hea,0.0670981602465768
Mou,Jaw,1.25283250952657
Mou,Ear,0.202660632416463
Mou,Eye,0.329332658566607
Mou,Fr,0.144631910260137
Mou,HA,0.156060946563563
Mou,TJ,0.114311165560563
Mou,Myc,0.29857762285616
Mou,NTJ,0.0491328222735066
Mou,GIO,0.210320711237481
Mou,InO,0.284563587762594
Mou,SInf,0.236133637806228
Mou,IjO,0.235992197040244
Mou,NSO,0.1320689724697
Mou,SkO,0.464251023849929
Mou,URO,0.301309715460724
Mou,Poi,0.250205898585731
Mou,RIn,0.585018166860664
Mou,SIn,0.451892095561627
Mou,Bac,0.106306208295541
Mou,Bac,0.106306208295541
Mou,Spr,0.220983582307164
Mou,SuIj,0.204391272910046
Mou,Lup,1.07806658776342
Mou,UGI,0.204053924824721
Mou,Vir,0.394078221981987
Mou,Neo,0.245624665006119
Mou,Gen,0.150751664000115
Hea,Her,0.18433892666371
Hea,Ane,0.087423185641836
Hea,Ast,0.165222995614681
Hea,Bac,0.214411834172876
Hea,Bac,0.214411834172876
Hea,Bil,0.251976165640376
Hea,Bur,0.272073968185404
Hea,CVD,0.362046938120898
Hea,COPD,0.390316422885405
Hea,Coag,0.257483479482412
Hea,Coma,0.343942764361131
Hea,CIj,0.280491091680244
Hea,Art,0.494261878924704
Hea,Uri,0.195528720718739
Hea,Vei,0.209353226589908
Hea,WBC,0.207024720293212
Hea,Lip,0.192219882067106
Hea,Jaw,0.089016577817149
Hea,Ear,0.143666446544977
Hea,Ep,0.265200201654559
Hea,Eye,0.0586090520492285
Hea,Ele,0.49798601340423
Hea,Fr,0.174644973325812
Hea,GIH,0.360368298550266
Hea,HA,0.18796759266859
Hea,HTN,0.414755158739405
Hea,IIn,0.19091313510626
Hea,TJ,0.169887333283485
Hea,Liv,0.240364289280388
Hea,LGI,0.0828818093243507
Hea,Myc,0.149121453983294
Hea,NTJ,0.0767267316433391
Hea,Gas,0.438686994211948
Hea,Wou,0.0729180864105199
Hea,GIO,0.170983577408889
Hea,InO,0.324855851053623
Hea,IjO,0.250927892844226
Hea,LRO,0.509272561053785
Hea,NuO,0.0276900401749748
Hea,SkO,0.122712521848653
Hea,Pan,0.27801761444835
Hea,Par,0.169199002749399
Hea,Ple,1.00775303929901
Hea,Poi,0.419569429015464
Hea,RF,0.260399904285373
Hea,RIn,0.477654343598516
Hea,SIn,0.262428153999319
Hea,Bac,0.0969134062722075
Hea,Bac,0.0969134062722075
Hea,Spr,0.25328394865858
Hea,SuIj,0.333903132059946
Hea,Lup,0.460563348956769
Hea,UGI,0.276537954450084
Hea,Vir,0.215707972443263
Hea,Gen,0.113204310599579
Uri,Her,0.199260106834773
Uri,Ane,0.195110680818834
Uri,Bac,0.705731722706699
Uri,Bac,0.705731722706699
Uri,Bil,0.342868060985207
Uri,Bur,0.271808039108402
Uri,NIn,0.529523636405154
Uri,CVD,0.143919601477666
Uri,COPD,0.159818918067114
Uri,Ulc,0.61811632334142
Uri,Coag,0.330074256067161
Uri,Coma,0.431873364743004
Uri,CIj,0.365693411516642
Uri,Art,0.174159017998507
Uri,Hea,0.268438290472006
Uri,Vei,0.134027701197898
Uri,WBC,0.373247976061377
Uri,Lip,0.153734163939053
Uri,Jaw,0.12833706480772
Uri,Ear,0.0459820638421104
Uri,Ep,0.223928242990147
Uri,Eye,0.0598288369419238
Uri,Ele,0.800899404928966
Uri,Fr,0.16554544814962
Uri,GIH,0.303250364932496
Uri,Gou,0.196348734290611
Uri,HA,0.110232899242296
Uri,HTN,0.264985706406973
Uri,ArI,0.298162794348124
Uri,IIn,0.452859104414708
Uri,TJ,0.0751178281113621
Uri,Liv,0.369856972795931
Uri,LGI,0.264882471710429
Uri,Myc,0.224749986406004
Uri,NTJ,0.0379999109555015
Uri,Gas,0.499042150001381
Uri,End,0.122571388722423
Uri,GIO,0.314683098778806
Uri,HeO,0.285564127695393
Uri,InO,0.389292800385503
Uri,IjO,0.228156726758501
Uri,LRO,0.0308739028188569
Uri,SkO,0.160667863679617
Uri,Pan,0.547287441422829
Uri,Par,1.32342637029734
Uri,Ple,0.352390212214465
Uri,Poi,0.500274446000158
Uri,RF,0.586330415607954
Uri,RIn,0.42012967342589
Uri,SIn,0.322888630920352
Uri,Spi,1.91665965196473
Uri,Bac,0.13619736085996
Uri,Bac,0.13619736085996
Uri,Spr,0.155271041184689
Uri,SuIj,0.177610580553704
Uri,Lup,0.346178777301808
Uri,UGI,0.15927319551571
Uri,Vir,0.347177432818357
Uri,DM,0.0941640922534392
Uri,Gen,0.59429205972072
Vei,Her,0.451578151071942
Vei,Def,0.041242372821545
Vei,Ane,0.276444597305958
Vei,Ast,0.0872356894174376
Vei,Bac,0.169213671136435
Vei,Bac,0.169213671136435
Vei,Bur,0.26173486090849
Vei,Ulc,0.218308481997747
Vei,Coag,0.355240238756817
Vei,CIj,0.494905076490007
Vei,Art,0.0703030659756372
Vei,Hea,0.225001578148447
Vei,Uri,0.0894235459490747
Vei,Jaw,0.167182602465146
Vei,Ear,0.0792859153405007
Vei,Fr,0.13026491794744
Vei,GIH,1.9130693113532
Vei,HA,0.0397154492096918
Vei,TJ,0.172536127541392
Vei,Liv,0.103136879810319
Vei,LGI,1.27685340404593
Vei,Myc,0.245203018609101
Vei,NTJ,0.135991522584858
Vei,Gas,0.691957151916709
Vei,GIO,0.691987153387406
Vei,InO,0.143777042328712
Vei,SInf,0.0896363009867357
Vei,IjO,0.139443552512924
Vei,SkO,0.256896591439101
Vei,URO,0.0687462643407671
Vei,Par,0.393387100866256
Vei,RIn,0.296339976459956
Vei,SIn,0.31043033088353
Vei,Spi,0.603162157171161
Vei,Bac,0.105802251029476
Vei,Bac,0.105802251029476
Vei,Spr,0.160989311787764
Vei,SuIj,0.0912521314245678
Vei,UGI,0.360876035130131
Vei,Vir,0.342956670134334
Vei,Neo,0.463992474399537
Vei,Gen,0.382052342931986
WBC,Her,0.0957558056053086
WBC,Ane,0.987049433631326
WBC,Bac,0.780555824170857
WBC,Bac,0.780555824170857
WBC,Bil,0.792177273578194
WBC,Bur,0.57470656062995
WBC,NIn,0.948225739718085
